Country,Year,Month,Name Of The Service Area Having Telephone Connections,"Total Telephone Connections  (UOM:Number), Scaling Factor:1000000"
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Odisha,33.5
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Punjab,36.95
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Rajasthan,63.84
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Tamil Nadu,80.27
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Uttar Pradesh (East),101.06
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Uttar Pradesh (West),64.61
India,"Calendar Year (Jan - Dec), 2022","October, 2022",West Bengal,57.26
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Kolkata,24.69
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Delhi,57.26
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Mumbai,37.18
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Andhra Pradesh,84.87
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Assam,24.69
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Bihar,91.49
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Gujarat,67.7
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Haryana,27.14
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Himachal Pradesh,9.93
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Jammu & Kashmir,12.39
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Karnataka,68.67
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Kerala,44.02
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Madhya Pradesh,77.96
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Maharashtra,93.15
India,"Calendar Year (Jan - Dec), 2022","September, 2022",North East,12.32
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Odisha,33.43
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Punjab,36.87
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Rajasthan,64.11
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Tamil Nadu,80.35
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Uttar Pradesh (East),101.42
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Uttar Pradesh (West),64.9
India,"Calendar Year (Jan - Dec), 2022","September, 2022",West Bengal,57.53
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Kolkata,24.7
